_id,timeStampID,rssiLVNGRM,rssiBDRM,rssiKTCHN
ObjectId(61ab8bbba3245215261db8ab),1636642260,-100,-100,-100
ObjectId(61ab8bbba3245215261db8ac),1636642320,-100,-100,-100
ObjectId(61ab8bbba3245215261db8ad),1636642380,-100,-100,-100
ObjectId(61ab8bbba3245215261db8ae),1636642440,-100,-100,-100
ObjectId(61ab8bbba3245215261db8af),1636642500,-100,-100,-100
ObjectId(61ab8bbba3245215261db8b0),1636642560,-100,-100,-100
ObjectId(61ab8bbba3245215261db8b1),1636642620,-100,-100,-100
ObjectId(61ab8bbba3245215261db8b2),1636642680,-100,-100,-100
ObjectId(61ab8bbca3245215261db8b3),1636642740,-100,-100,-100
ObjectId(61ab8bbca3245215261db8b4),1636642800,-100,-100,-100
ObjectId(61ab8bbca3245215261db8b5),1636642860,-100,-100,-100
ObjectId(61ab8bbca3245215261db8b6),1636642920,-100,-100,-100
ObjectId(61ab8bbca3245215261db8b7),1636642980,-100,-100,-100
ObjectId(61ab8bbca3245215261db8b8),1636643040,-100,-100,-100
ObjectId(61ab8bbca3245215261db8b9),1636643100,-100,-100,-100
ObjectId(61ab8bbca3245215261db8ba),1636643160,-100,-100,-100
ObjectId(61ab8bbca3245215261db8bb),1636643220,-100,-100,-100
ObjectId(61ab8bbca3245215261db8bc),1636643280,-100,-100,-100
ObjectId(61ab8bbca3245215261db8bd),1636643340,-100,-100,-100
ObjectId(61ab8bbca3245215261db8be),1636643400,-100,-100,-100
ObjectId(61ab8bbca3245215261db8bf),1636643460,-100,-100,-100
ObjectId(61ab8bbca3245215261db8c0),1636643520,-100,-100,-100
ObjectId(61ab8bbca3245215261db8c1),1636643580,-100,-100,-100
ObjectId(61ab8bbca3245215261db8c2),1636643640,-100,-100,-100
ObjectId(61ab8bbca3245215261db8c3),1636643700,-100,-100,-100
ObjectId(61ab8bbca3245215261db8c4),1636643760,-100,-100,-100
ObjectId(61ab8bbca3245215261db8c5),1636643820,-100,-100,-100
ObjectId(61ab8bbca3245215261db8c6),1636643880,-100,-100,-100
ObjectId(61ab8bbca3245215261db8c7),1636643940,-100,-100,-100
ObjectId(61ab8bbca3245215261db8c8),1636644000,-100,-100,-100
ObjectId(61ab8bbca3245215261db8c9),1636644060,-100,-100,-100
